packagetype,shipment_count,current_total,p2p_total,current_avg,p2p_avg,avg_weight,p2p_us_count,p2p_us2_count,diff,diff_pct
PIZZA BOX 20x16x1,117206,984887.2417114654,635952.1200002169,8.40304456863527,5.426305227053507,1.2801360772315937,58831,58367,-348935.12171124853,-35.42894119583623
PIZZA BOX 12x8x1,55898,336672.4112065008,255742.8599999726,6.022977766762689,4.5752519813223,0.694598109654211,28133,27764,-80929.55120652818,-24.038070395049203
PIZZA BOX 16x12x2,43674,374048.2703597354,234422.77000003768,8.56455260245765,5.367804771937115,2.199338421151596,21643,22029,-139625.50035969773,-37.328203716973476
WRAP 16''x12'',42298,320439.0967798462,216317.48999998652,7.575750550376996,5.114372281066449,1.3065170732071762,21845,20451,-104121.60677985966,-32.49341538726005
PIZZA BOX 24x20x2,40950,406529.4887582152,385116.98999999475,9.927460042935659,9.404566300366172,4.2521460932502535,19707,21243,-21412.498758220463,-5.267145274904183
PIZZA BOX 36x24x2,37143,434925.29997179395,644224.5699999055,11.709482270462644,17.344907920949478,5.966790970008893,11609,25533,209299.27002811158,48.12303860954633
PIZZA BOX 20x16x2,36316,334515.16773982916,208508.02000002807,9.211233829161504,5.74149190439553,3.211601728026,16829,19487,-126007.14773980109,-37.66859021406282
PIZZA BOX 42x32x2,24809,451228.7361382996,1042864.2600001962,18.18810657980167,42.037417768469695,8.881401802223563,13585,11223,591635.5238618966,131.11654388974088
WRAP 24''x16'',23432,211941.91655883068,189421.83999998754,9.044977661267954,8.084240536041463,2.616795410197715,13029,10402,-22520.07655884314,-10.62558880493658
PIZZA BOX 40x30x1,21002,410906.06646736,334735.0400000146,19.5650922039501,15.939763809524504,3.347536797134331,0,21000,-76171.02646734542,-18.53733314823085
PIZZA BOX 48X36X1,19768,506688.8143970614,1066404.9800000475,25.631769243072714,53.94602286523915,7.972522646557772,10776,8992,559716.165602986,110.46546710706944
"CROSS PACKAGING 30X24""",15128,151690.80877433388,140291.23999999618,10.02715552448003,9.273614489687743,5.977222017073381,8607,6521,-11399.568774337706,-7.515002963229316
"21"" Tube",12376,86353.80349222854,78877.9500000009,6.977521290580846,6.37397575757583,0.6042582732145482,7235,5140,-7475.853492227645,-8.657237075724682
PIZZA BOX 30x20x3,10152,119336.34197212101,134464.85999999932,11.754958823100965,13.249074785693104,5.516858980113605,5328,4821,15128.518027878308,12.677209455115179
POLY BAG 9x12,5471,30311.35588375105,25722.750000001026,5.540368467145138,4.701654176567542,0.8423596671021725,3322,2149,-4588.605883750024,-15.138240273210046
MUG BOX 16x12x8,4962,47307.579362769524,30902.00000000088,9.533974075527917,6.227730753728513,4.595561176559113,2417,2545,-16405.579362768643,-34.67854323503948
"26"" Tube",4717,37920.17588728918,30380.33000000049,8.039045131924778,6.440604197583314,0.6701594734236349,2756,1961,-7539.845887288691,-19.883467602311526
MUG BOX 5x5x5,4464,26566.6707470004,20729.739999999823,5.951315131496505,4.643758960573437,0.8879809015953741,2565,1899,-5836.930747000577,-21.970877730923867
MIXPIX BOX,3239,25787.406168810885,16332.429999999782,7.961533241374154,5.042429762272239,1.2795503085736784,1818,1421,-9454.976168811103,-36.6650918937579
PIZZA BOX 42x32x2 (2x strapped),2910,89105.64882462693,216179.70999999554,30.62049787787867,74.31409762804934,22.43618681896649,1492,1417,127074.06117536861,142.61055595416755
"",2685,24013.518058625563,14415.309999999685,8.943582144739501,5.370830849478273,2.2415469698031387,1591,1093,-9598.208058625878,-39.97002036600064
PIZZA BOX 27x23x2,2427,28060.14406552005,27698.82999999953,11.561658041005376,11.412785331685013,7.271771033413389,1194,1233,-361.31406552052067,-1.287641519861257
"CROSS PACKAGING 49X30""",2254,49214.97034100005,135883.08999999837,21.834503256876687,60.28531055900549,17.87450410592232,1269,985,86668.11965899832,176.10113154288902
BUBBLE MAILER 9x14,2053,11581.807808374917,8881.370000000106,5.641406628531377,4.3260448124696085,0.4611580843536412,1107,946,-2700.4378083748106,-23.31620290247001
"POLY BAG 14,5x19",2043,19110.560938202707,11698.360000000119,9.354165902203968,5.726069505629035,3.7854007060557655,1198,845,-7412.200938202588,-38.785888923779986
PIZZA BOX 24x20x2 (2x strapped),1846,22848.543399763217,24239.38000000006,12.377325785353856,13.130758396533077,10.816503176986654,858,988,1390.836600236842,6.087200290637589
PIZZA BOX 40x30x2,1692,35292.81903434151,59561.53999999928,20.858640091218387,35.20185579196175,7.719637248270472,486,1206,24268.72096565777,68.76390617038328
BOX 16x24x12,1666,24772.659691328074,73628.16000000022,14.869543632249744,44.19457382953195,9.53640082577827,888,778,48855.50030867215,197.2154016460918
PIZZA BOX 30x20x3 (2x strapped),1519,21851.56062474091,58832.66999999945,14.385490865530553,38.731184990124724,11.072198246154315,792,727,36981.109375258544,169.23784076725195
MUG BOX 9x7x5,1493,11916.827439124992,7585.5800000000345,7.9818000262056215,5.080763563295402,1.7429513124694795,853,640,-4331.247439124958,-36.34564200287678
"CROSS PACKAGING 40X30""",1483,19726.93654207845,49509.67999999994,13.302047567146628,33.38481456507076,12.772469999496195,391,1092,29782.743457921493,150.97500513773923
PIZZA BOX 36x24x2 (2x strapped),1479,27164.23655747658,75302.52000000006,18.366623771113307,50.91448275862073,15.66901764688771,699,780,48138.28344252348,177.2119873152632
PIZZA BOX 42x32x2 (3x strapped),1133,40160.32928187482,94026.85999999983,35.44600995752412,86.50125114995384,37.7738852755992,564,523,53866.530718125,134.12870781026209
MUG BOX 16x6x4,1130,9536.375558125008,6059.620000000029,8.43927040542036,5.362495575221264,2.8881570838603885,636,494,-3476.755558124979,-36.457829674742385
Carpet Box 22x4x4,1112,9257.881528525319,8048.220000000078,8.325433029249387,7.237607913669135,1.3935197532698436,665,447,-1209.661528525241,-13.066288705445631
POLY BAG 12x15,824,5387.003775999998,3859.1899999999873,6.53762594174757,4.6834830097087226,0.64924263299978,451,373,-1527.8137760000104,-28.36110460524784
PIZZA BOX 36x24x2 (3x strapped),777,16697.313150750037,50990.0000000001,21.48946351447881,65.7935483870969,24.10141399435321,388,387,34292.686849250065,205.37847340851752
WRAP 36''x24'' [x2],632,9134.26794399999,32643.149999999907,14.452955607594921,51.650553797468206,7.80773031028781,297,335,23508.882055999915,257.37018226449277
MIXPIX BOX_(2),504,4292.191296249999,2660.110000000006,8.516252571924602,5.277996031746044,2.3167215562752825,308,196,-1632.081296249993,-38.024430497212684
"CROSS PACKAGING 40X40""",444,8892.784083999988,22123.000000000055,20.028792981981955,49.8265765765767,16.61134483580638,199,245,13230.215916000066,148.77473456039533
PIZZA BOX 40x30x2 (2x strapped),441,10508.127828124998,29694.64999999997,23.827954258786843,67.33480725623576,17.006783835057103,244,197,19186.52217187497,182.58744550596592
PIZZA BOX 40x30x2 (3x strapped),433,12284.726412874976,35515.58999999997,28.371192639434124,83.56609411764698,32.334487156531274,223,202,23230.863587124994,189.10363003915128
MIXPIX BOX_(4),329,2879.6430176249983,1513.0199999999982,8.75271433928571,4.598844984802426,0.6352529616291815,135,194,-1366.623017625,-47.45807064488605
PIZZA BOX 24x20x2 (3x strapped),329,5142.473938375002,13289.81999999997,15.63061987348025,40.394589665653406,16.31087700063787,161,168,8147.346061624969,158.4324229788803
Carpet Box 37x5x5,319,2997.1633668749932,3149.289999999994,9.39549644788399,9.872382445141048,3.44856883901029,172,147,152.1266331250008,5.0756870581804945
WRAP 36''x24'',307,3599.036112519227,4686.19,11.723244666186407,15.264462540716611,9.360633752628349,151,156,1087.1538874807725,30.20680686417993
WRAP 27''x23'',243,2326.6622701249994,2136.2799999999997,9.574741852366254,8.791275720164608,5.648342950171774,144,99,-190.38227012499965,-8.182634521974322
PIZZA BOX 27x23x2 (2x strapped),200,2952.1421908750017,5953.860000000003,14.760710954375009,29.769300000000015,16.628873174552602,99,101,3001.7178091250016,101.67930997372811
PIZZA BOX 30x20x3 (3x strapped),142,2164.364221375001,9064.560000000001,15.24200155897888,63.8349295774648,26.107265270131276,68,74,6900.1957786250005,318.8093626054015
WRAP 40''x30'',69,874.6855305000001,2911.1499999999996,12.67660189130435,42.190579710144924,7.068403532349566,32,37,2036.4644694999995,232.82247144706818
PIZZA BOX 27x23x2 (3x strapped),47,1041.763000375,2761.560000000001,22.16517022074468,58.75659574468087,26.461569332353186,21,26,1719.7969996250008,165.08524482112833
WRAP 36''x24'' [x3],36,890.9669128749999,2113.0699999999993,24.749080913194444,62.1491176470588,32.60955300469555,25,9,1222.1030871249993,137.1659339381615
WRAP 40''x30'' [x3],6,149.15570087499998,474.5,24.859283479166663,79.08333333333333,25.67136066148667,3,3,325.344299125,218.1239451233949
PAPIER-VERSANDTASCHE klein 250x353x50,1,7.83,4.31,7.83,4.31,1.09790206476,1,0,-3.5200000000000005,-44.955300127713926
