packagetype,shipments,avg_actual_2025,avg_s15_2026,diff,diff_pct
PIZZA BOX 20x16x1,32850,7.527189041095598,5.641373604837892,-1.8858154362577055,-25.053382158490617
PIZZA BOX 12x8x1,18497,5.472142509596225,4.678358975377815,-0.7937835342184094,-14.505900254359066
PIZZA BOX 16x12x2,18419,8.049761116238646,6.472672718975662,-1.5770883972629832,-19.591741599406593
PIZZA BOX 24x20x2,13171,10.468114797661487,8.184007967545188,-2.284106830116299,-21.819657830142962
WRAP 16''x12'',12089,6.996112168086439,5.294730716554621,-1.7013814515318177,-24.318956166724465
PIZZA BOX 20x16x2,11030,8.905143245693674,8.07706418857685,-0.828079057116824,-9.298885310096098
PIZZA BOX 40x30x1,10953,17.2246946042182,10.65025784371039,-6.57443676050781,-38.16866952693477
WRAP 24''x16'',7446,9.309294923448865,7.23967988907537,-2.069615034373495,-22.23170553078528
PIZZA BOX 36x24x2,6929,13.320170298744351,12.820642023926242,-0.49952827481810935,-3.750164326841964
PIZZA BOX 48X36X1,6777,37.653951601003406,19.626937503239613,-18.027014097763793,-47.87549070223856
POLY BAG 9x12,4460,5.518773542600892,4.697564610350357,-0.8212089322505349,-14.880279575007076
"21"" Tube",3907,7.115408241617652,6.38817333268772,-0.7272349089299315,-10.220564783287802
PIZZA BOX 42x32x2,3859,33.74729981860638,14.564924460194458,-19.18237535841192,-56.84121533135469
"CROSS PACKAGING 30X24""",3587,11.210632840813975,7.853305672887824,-3.357327167926151,-29.947704251835834
MUG BOX 16x12x8,1845,9.473029810298094,8.084705034790987,-1.3883247755071064,-14.65555163774386
MUG BOX 5x5x5,1594,5.891599749058951,4.632007284072089,-1.259592464986862,-21.379464298946193
PIZZA BOX 30x20x3,1542,12.339066147859974,9.16029909208812,-3.1787670557718535,-25.761812260996454
"26"" Tube",1238,7.248279483037085,6.30856569008434,-0.9397137929527455,-12.964646232970562
MIXPIX BOX,1044,7.5169636015325585,5.904788526457502,-1.612175075075056,-21.447158194917503
PIZZA BOX 42x32x2 (2x strapped),1006,44.78258449304173,29.144491719950697,-15.638092773091035,-34.920031860869635
"POLY BAG 14,5x19",829,9.565199034981921,7.454194372901186,-2.1110046620807355,-22.069636547659414
PIZZA BOX 27x23x2,808,12.458044554455432,9.432634921059678,-3.0254096333957534,-24.28478739316887
Carpet Box 22x4x4,776,8.367126288659787,7.0419201030927905,-1.325206185566996,-15.83824768323489
MUG BOX 9x7x5,687,7.395065502183387,5.090897958220207,-2.30416754396318,-31.158176263386395
BUBBLE MAILER 9x14,654,5.222507645259976,4.318735135135142,-0.903772510124834,-17.305336277393696
MUG BOX 16x6x4,622,7.91607717041802,7.384397514556356,-0.5316796558616641,-6.716453672893994
"CROSS PACKAGING 40X30""",607,18.414563426688634,15.531415913442256,-2.883147513246378,-15.656887684167241
BOX 16x24x12,597,15.019296482412043,11.781539988229422,-3.237756494182621,-21.55731127602489
PIZZA BOX 24x20x2 (2x strapped),527,14.214345351043605,9.766904907943994,-4.447440443099611,-31.288394458300424
PIZZA BOX 36x24x2 (2x strapped),505,20.57219801980196,12.593526829007233,-7.978671190794726,-38.7837565199148
PIZZA BOX 30x20x3 (2x strapped),481,18.011704781704776,11.56005931336742,-6.451645468337356,-35.819182839875076
WRAP 36''x24'' [x2],406,15.522561576354697,12.099539901477808,-3.423021674876889,-22.051912360206906
PIZZA BOX 40x30x2,388,23.751804123711334,12.623452967400388,-11.128351156310947,-46.85265632180571
"CROSS PACKAGING 49X30""",341,35.67906158357771,17.918344138860284,-17.76071744471743,-49.77910476460596
PIZZA BOX 42x32x2 (3x strapped),303,47.137227722772295,33.435376754972836,-13.701850967799459,-29.06800342265357
PIZZA BOX 36x24x2 (3x strapped),200,32.216350000000006,14.344628054054054,-17.87172194594595,-55.47407433165441
MIXPIX BOX_(2),191,8.190261780104718,6.955495684165839,-1.2347660959388795,-15.076027227094228
Carpet Box 37x5x5,141,9.66141843971632,8.259619244776694,-1.4017991949396258,-14.509248343670597
POLY BAG 12x15,130,6.105307692307697,4.249384615384612,-1.8559230769230854,-30.398518313195446
PIZZA BOX 24x20x2 (3x strapped),115,22.3775652173913,11.2838217626322,-11.0937434547591,-49.57529269599586
"CROSS PACKAGING 40X40""",89,32.60539325842698,16.07694576374126,-16.528447494685718,-50.69237277306533
WRAP 27''x23'',83,10.21036144578313,7.682481536958646,-2.5278799088244845,-24.757986504664796
WRAP 36''x24'',73,15.209315068493156,9.915955423917065,-5.293359644576091,-34.80340581241259
PIZZA BOX 27x23x2 (2x strapped),73,18.488493150684924,12.552917141799332,-5.935576008885592,-32.10416317062433
PIZZA BOX 40x30x2 (2x strapped),70,32.04142857142858,19.870148416988417,-12.171280154440165,-37.9860720857288
PIZZA BOX 40x30x2 (3x strapped),42,39.60428571428571,27.548957786357786,-12.055327927927923,-30.43945297965425
PIZZA BOX 30x20x3 (3x strapped),30,30.75533333333334,15.296291891891894,-15.459041441441446,-50.26458752338275
WRAP 40''x30'',18,18.452777777777776,13.985935735735731,-4.466842042042044,-24.206881456196538
PIZZA BOX 27x23x2 (3x strapped),16,22.306250000000002,16.191864189189186,-6.114385810810816,-27.411087972253583
MIXPIX BOX_(4),15,4.842666666666667,4.593999999999999,-0.2486666666666677,-5.134911894273149
WRAP 36''x24'' [x3],4,83.4625,22.48511351351351,-60.977386486486495,-73.05962137065927
WRAP 40''x30'' [x3],2,135.01500000000001,28.707718918918914,-106.3072810810811,-78.73738553574128
