metric,value
total_shipments,539917.0
s1_baseline,6072061.727426224
s15_total,5099098.799980465
savings_vs_s1,972962.9274457591
savings_pct,16.02360073269826
fedex_earned_discount_hd,0.16
fedex_earned_discount_sp,0.04
fedex_undiscounted_spend,5133405.597805725
fedex_undiscounted_hd,3680643.1621621614
fedex_undiscounted_sp,1452762.4356435644
fedex_undiscounted_threshold,5100000.0
fedex_margin_above_5m,33405.59780572541
fedex_shipments,255971.0
fedex_hd_shipments,152438.0
fedex_sp_shipments,103533.0
fedex_total_cost,3745233.849980465
fedex_hd_cost,2697191.644097297
fedex_sp_cost,1048042.2058831679
fedex_hd_base_rate,1361837.97
fedex_sp_base_rate,733645.03
light_p2p_us_cutoff,3.0
light_p2p_us2_cutoff,1.0
medium_p2p_us_cutoff,21.0
medium_p2p_us2_cutoff,2.0
